,Track_Id,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Date
809,11809,Mazzy Star,Halah,She Hangs Brightly,album,0.622,0.448,0.0,-10.709,0.0265,0.23,0.0,0.102,0.553,106.085,196227.0,Mazzy Star - Halah (Official Music Video),Telegenics,105529.0,2861.0,143.0,False,False,24915324.0,1990-05-21
810,11810,Mazzy Star,Look On Down From The Bridge,Among My Swan,album,0.37,0.0772,0.0,-19.322,0.0414,0.642,0.69,0.112,0.0954,119.942,287893.0,Mazzy Star - Look On Down From The Bridge,DrMabuse05,11189501.0,166642.0,8961.0,False,False,44631687.0,1996-10-29
811,11811,Mazzy Star,Blue Light,So Tonight That I Might See,album,0.451,0.222,4.0,-15.508,0.0285,0.837,0.63,0.0978,0.179,138.943,310733.0,Mazzy Star - Blue Light,badtracking,227247.0,2809.0,164.0,False,False,18060236.0,1993-10-05
812,11812,Mazzy Star,Into Dust,So Tonight That I Might See,album,0.415,0.132,7.0,-18.839,0.0353,0.94,0.137,0.113,0.122,169.006,336760.0,MAZZY STAR - into dust (1993),caiópolis,418292.0,6097.0,534.0,False,False,43130438.0,1993-10-05
813,11813,Mazzy Star,Rose Blood,Among My Swan,album,0.256,0.319,1.0,-14.847,0.0299,0.366,0.718,0.113,0.0666,83.044,291040.0,Rose Blood,Mazzy Star - Topic,578819.0,9845.0,61.0,True,True,9860665.0,1996-10-29
814,11814,Mazzy Star,Be My Angel,She Hangs Brightly,album,0.356,0.426,9.0,-10.857,0.0265,0.0305,0.00364,0.116,0.269,165.323,197333.0,Mazzy Star - Be My Angel,Fhaar,4295244.0,27156.0,765.0,False,False,9534440.0,1990-05-21
815,11815,Mazzy Star,"Cry, Cry",Among My Swan,album,0.5,0.196,7.0,-15.632,0.0297,0.754,0.0423,0.105,0.138,123.008,238160.0,"Cry, Cry",Mazzy Star - Topic,977259.0,13091.0,143.0,True,True,7652907.0,1996-10-29
816,11816,Mazzy Star,Flowers In December,Among My Swan,album,0.59,0.229,7.0,-13.174,0.0301,0.116,0.00168,0.0854,0.168,96.856,297893.0,Mazzy Star - Flowers In December (Official Video) HD,Sam,3082.0,132.0,9.0,False,False,15018548.0,1996-10-29
817,11817,Mazzy Star,Give You My Lovin,She Hangs Brightly,album,0.559,0.286,7.0,-11.777,0.0366,0.742,0.00186,0.125,0.347,173.004,230067.0,Give You My Lovin,Mazzy Star - Topic,313511.0,4973.0,34.0,True,True,6528281.0,1990-05-21
818,11818,Cascada,Everytime We Touch,Everytime We Touch (Premium Edition),album,0.633,0.976,8.0,-5.362,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,197124.0,Cascada - Everytime We Touch (Official Video),SteveAATW,181861204.0,1219373.0,49314.0,True,True,,2010-02-12
